Rk,Player,Pos,Age,PER
88,Jevon Carter\carteje01,PG,23,3.6
89,Vince Carter\cartevi01,SF,42,11.7
90,Wendell Carter\cartewe01,C,19,15.3
91,Michael Carter-Williams\cartemi01,PG,27,12.8
92,Alex Caruso\carusal01,PG,24,10.3
93,Omri Casspi\casspom01,SF,30,16
94,Willie Cauley-Stein\caulewi01,C,25,17.9
95,Troy Caupain\caupatr01,PG,23,33
96,Tyler Cavanaugh\cavanty01,PF,24,5.5
97,Tyson Chandler\chandty01,C,36,11.8
97,Tyson Chandler\chandty01,C,36,11.6
97,Tyson Chandler\chandty01,C,36,11.8
98,Wilson Chandler\chandwi01,PF,31,9.1
99,Joe Chealey\chealjo01,PG,23,2.1
100,Marquese Chriss\chrisma01,PF,21,11.8
100,Marquese Chriss\chrisma01,PF,21,3.5
100,Marquese Chriss\chrisma01,PF,21,19.4
101,Gary Clark\clarkga01,PF,24,8.3
102,Ian Clark\clarkia01,SG,27,6.2
103,Jordan Clarkson\clarkjo01,SG,26,17.3
104,John Collins\collijo01,PF,21,21.4
105,Zach Collins\colliza01,C,21,13.6
106,Darren Collison\collida01,PG,31,16.3
107,Mike Conley\conlemi01,PG,31,20.4
108,Pat Connaughton\connapa01,SG,26,13.2
109,Quinn Cook\cookqu01,PG,25,12.7
110,DeMarcus Cousins\couside01,C,28,19.4
111,Robert Covington\covinro01,SF,28,13.4
111,Robert Covington\covinro01,SF,28,11
111,Robert Covington\covinro01,SF,28,14.8
112,Allen Crabbe\crabbal01,SG,26,9.1
113,Torrey Craig\craigto01,SF,28,9.5
114,Jamal Crawford\crawfja01,SG,38,9.4
115,Mitch Creek\creekmi01,SF,26,21.7
116,Jae Crowder\crowdja01,SF,28,11.7
117,Dante Cunningham\cunnida01,PF,31,11
118,Seth Curry\curryse01,SG,28,9.4
119,Stephen Curry\curryst01,PG,30,25.9
120,Troy Daniels\danietr01,SG,27,9.5
121,Anthony Davis\davisan02,C,25,30.5
122,Ed Davis\davised01,C,29,17.7
123,Tyler Davis\davisty01,C,21,0
124,Dewayne Dedmon\dedmode01,C,29,15.1
125,Sam Dekker\dekkesa01,SF-PF,24,14.9
125,Sam Dekker\dekkesa01,PF,24,14.1
125,Sam Dekker\dekkesa01,SF,24,15.2
126,Angel Delgado\delgaan01,C,24,7.5
127,Matthew Dellavedova\dellama01,PG,28,11.4
127,Matthew Dellavedova\dellama01,PG,28,7.6
127,Matthew Dellavedova\dellama01,PG,28,12
128,Luol Deng\denglu01,SF,33,15.8
129,DeMar DeRozan\derozde01,SG,29,18.6
130,Marcus Derrickson\derrima01,PF,22,10.3
131,Cheick Diallo\diallch01,PF,22,16.6
132,Hamidou Diallo\diallha01,SG,20,10.5
133,Gorgui Dieng\dienggo01,C,29,16.8
134,Spencer Dinwiddie\dinwisp01,PG,25,17.5
135,Donte DiVincenzo\divindo01,SG,22,8.5
136,Luka Doncic\doncilu01,SG,19,19.2
137,Tyler Dorsey\dorsety01,SG,22,9.1
137,Tyler Dorsey\dorsety01,SG,22,7.9
137,Tyler Dorsey\dorsety01,SG,22,41.2
138,Damyean Dotson\dotsoda01,SG,24,11.1
139,PJ Dozier\doziepj01,SG,22,24.9
140,Goran Dragic\dragigo01,PG,32,13.3
141,Andre Drummond\drumman01,C,25,22.4
142,Jared Dudley\dudleja01,PF,33,7
143,Kris Dunn\dunnkr01,PG,24,12.4
144,Kevin Durant\duranke01,PF,30,25.1
145,Trevon Duval\duvaltr01,PG,20,38.7
146,Vince Edwards\edwarvi01,SF,22,3.8
147,Henry Ellenson\ellenhe01,PF,22,14.8
148,Wayne Ellington\ellinwa01,SG,31,10.2
148,Wayne Ellington\ellinwa01,SG,31,10.9
148,Wayne Ellington\ellinwa01,SG,31,2.4
149,Joel Embiid\embiijo01,C,24,25.5
150,James Ennis\ennisja01,SF,28,10.9
150,James Ennis\ennisja01,SF,28,11.4
150,James Ennis\ennisja01,SF,28,1.6
151,Drew Eubanks\eubandr01,PF,21,19.1
152,Jacob Evans\evansja02,SG,21,-1.3
153,Jawun Evans\evansja01,PG,22,0.8
154,Tyreke Evans\evansty01,SG,29,12.1
155,Dante Exum\exumda01,PG,23,12.7
156,Kenneth Faried\farieke01,C,29,22.7
156,Kenneth Faried\farieke01,C,29,20.7
156,Kenneth Faried\farieke01,C,29,23.3
157,Derrick Favors\favorde01,C,27,20.5
158,Cristiano Felicio\feliccr01,C,26,13.1
159,Raymond Felton\feltora01,PG,34,13.3
160,Terrance Ferguson\fergute01,SG,20,6.9
161,Yogi Ferrell\ferreyo01,PG,25,14
162,Dorian Finney-Smith\finnedo01,SF,25,11.5
163,Bryn Forbes\forbebr01,PG,25,11.4
164,Evan Fournier\fournev01,SG,26,11.9
165,De'Aaron Fox\foxde01,PG,21,17.9
166,Melvin Frazier\frazime01,SG,22,5.6
167,Tim Frazier\fraziti01,PG,28,11.8
168,Channing Frye\fryech01,C,35,8.5
169,Markelle Fultz\fultzma01,PG,20,10.5
170,Danilo Gallinari\gallida01,SF,30,19.7
171,Langston Galloway\gallola01,SG,27,9.6
172,Marc Gasol\gasolma01,C,34,17.3
172,Marc Gasol\gasolma01,C,34,17.2
172,Marc Gasol\gasolma01,C,34,20.8
173,Pau Gasol\gasolpa01,C,38,18.2
174,Rudy Gay\gayru01,PF,32,18.3
175,Paul George\georgpa01,SF,28,24.9
176,Taj Gibson\gibsota01,PF,33,16.8
177,Harry Giles\gilesha01,PF,20,13.4
178,Shai Gilgeous-Alexander\gilgesh01,PG,20,12.5
179,Rudy Gobert\goberru01,C,26,24.5
180,Brandon Goodwin\goodwbr01,PG,23,8.5
181,Aaron Gordon\gordoaa01,PF,23,15.1
182,Eric Gordon\gordoer01,SG,30,11.1
183,Marcin Gortat\gortama01,C,34,13
184,Devonte' Graham\grahade01,PG,23,10.7
185,Treveon Graham\grahatr01,SG,25,4.7
186,Jerami Grant\grantje01,PF,24,14.1
187,Jerian Grant\grantje02,PG,26,10
188,Donte Grantham\grantdo01,SF,23,-19
189,Danny Green\greenda02,SG,31,11.8
190,Draymond Green\greendr01,PF,28,13.2
191,Gerald Green\greenge01,SG,33,11.6
192,JaMychal Green\greenja01,PF,28,15.2
192,JaMychal Green\greenja01,PF,28,15.2
192,JaMychal Green\greenja01,PF,28,15.3
193,Jeff Green\greenje02,PF,32,14
194,Blake Griffin\griffbl01,PF,29,21.7
195,Daniel Hamilton\hamilda02,SG,23,7.2
196,Tim Hardaway\hardati02,SG,26,14.3
196,Tim Hardaway\hardati02,SG,26,14.5
196,Tim Hardaway\hardati02,SG,26,12.3
197,James Harden\hardeja01,SG,29,30.5
198,Maurice Harkless\harklma01,SF,25,10.7
199,Montrezl Harrell\harremo01,C,25,23.5
200,Devin Harris\harride01,PG,35,11.6
201,Gary Harris\harriga01,SG,24,13.8
202,Joe Harris\harrijo01,SG,27,13.8
203,Tobias Harris\harrito02,PF-SF,26,18.6
203,Tobias Harris\harrito02,PF,26,18.6
203,Tobias Harris\harrito02,SF,26,18.5
204,Andrew Harrison\harrian01,SG-PG,24,5.9
204,Andrew Harrison\harrian01,PG,24,4.7
204,Andrew Harrison\harrian01,SG,24,6.7
204,Andrew Harrison\harrian01,SG,24,3.2
205,Shaquille Harrison\harrish01,PG,25,10.9
206,Josh Hart\hartjo01,SG,23,9.8
207,Isaiah Hartenstein\harteis01,PF,20,10
208,Udonis Haslem\hasleud01,C,38,-3.5
209,Gordon Hayward\haywago01,PF,28,15.1
210,John Henson\hensojo01,C,28,17.3
211,Juan Hernangomez\hernaju01,PF,23,12.3
212,Willy Hernangomez\hernawi01,C,24,20.4
213,Mario Hezonja\hezonma01,SF,23,9.7
214,Isaiah Hicks\hicksis01,PF,24,13.9
215,Buddy Hield\hieldbu01,SG,26,17.5
216,Haywood Highsmith\highsha01,SF,22,17.4
217,Nene Hilario\hilarne01,C,36,13.1
218,George Hill\hillge01,PG,32,11.6
218,George Hill\hillge01,PG,32,13.5
218,George Hill\hillge01,PG,32,10.7
219,Solomon Hill\hillso01,SF,27,6.8
220,Aaron Holiday\holidaa01,PG,22,12.1
221,Jrue Holiday\holidjr01,SG,28,19.5
222,Justin Holiday\holidju01,SG,29,9.7
222,Justin Holiday\holidju01,SG,29,11
222,Justin Holiday\holidju01,SG,29,6.7
223,John Holland\hollajo02,SF,30,0
224,Rondae Hollis-Jefferson\holliro01,SF,24,11.9
225,Richaun Holmes\holmeri01,C,25,21.6
226,Rodney Hood\hoodro01,SG,26,13
226,Rodney Hood\hoodro01,SG,26,13.1
226,Rodney Hood\hoodro01,SG,26,12.5
227,Al Horford\horfoal01,C,32,19.9
228,Danuel House\houseda01,SF,25,12.5
229,Dwight Howard\howardw01,C,33,17.4
230,Kevin Huerter\huertke01,SG,20,9.8
231,Chandler Hutchison\hutchch01,SF,22,8.8
232,Serge Ibaka\ibakase01,C,29,18.4
233,Andre Iguodala\iguodan01,SF,35,13.7
234,Ersan Ilyasova\ilyaser01,PF,31,11.8
235,Joe Ingles\inglejo01,SF,31,12.4
236,Brandon Ingram\ingrabr01,SF,21,12.6
237,Kyrie Irving\irvinky01,PG,26,24.9
238,Jonathan Isaac\isaacjo01,PF,21,12.7
239,Wesley Iwundu\iwundwe01,SF,24,8.8
240,Demetrius Jackson\jacksde01,PG,24,21
241,Frank Jackson\jacksfr01,PG,20,8.6
242,Jaren Jackson\jacksja02,PF,19,16.6
243,Josh Jackson\jacksjo02,SG,21,10.7
244,Justin Jackson\jacksju01,SF,23,10.2
244,Justin Jackson\jacksju01,SF,23,10.1
244,Justin Jackson\jacksju01,SF,23,12.4
245,Reggie Jackson\jacksre01,PG,28,14.3
246,LeBron James\jamesle01,SF,34,25.6
247,Amile Jefferson\jeffeam01,PF,25,13.8
248,John Jenkins\jenkijo01,SG,27,18.4
248,John Jenkins\jenkijo01,SG,27,20.5
248,John Jenkins\jenkijo01,SG,27,17.6
249,Jonas Jerebko\jerebjo01,PF,31,13.7
250,Alize Johnson\johnsal02,PF,22,-0.4
251,Amir Johnson\johnsam01,C,31,13.6
252,James Johnson\johnsja01,PF,31,10.9
253,Stanley Johnson\johnsst04,SF,22,9.5
253,Stanley Johnson\johnsst04,SF,22,9.8
253,Stanley Johnson\johnsst04,SF,22,-0.3
254,Tyler Johnson\johnsty01,PG-SG,26,11.7
254,Tyler Johnson\johnsty01,PG,26,12.4
254,Tyler Johnson\johnsty01,SG,26,4.8
255,Wesley Johnson\johnswe01,SF,31,7.5
255,Wesley Johnson\johnswe01,SF,31,7.1
255,Wesley Johnson\johnswe01,SF,31,9.6
256,Nikola Jokic\jokicni01,C,23,27
257,Damian Jones\jonesda03,C,23,15.4
258,Derrick Jones\jonesde02,SF,21,16.5
259,Jalen Jones\jonesja04,SF,25,11.7
260,Tyus Jones\jonesty01,PG,22,12.6
261,DeAndre Jordan\jordade01,C,30,18.6
261,DeAndre Jordan\jordade01,C,30,18.1
261,DeAndre Jordan\jordade01,C,30,22.8
262,Cory Joseph\josepco01,PG,27,11.8
263,Frank Kaminsky\kaminfr01,C,25,16
264,Enes Kanter\kanteen01,C,26,22.3
264,Enes Kanter\kanteen01,C,26,21.9
264,Enes Kanter\kanteen01,C,26,44.8
265,Luke Kennard\kennalu01,SG,22,10.5
266,Michael Kidd-Gilchrist\kiddgmi01,PF,25,14
267,George King\kingge03,SF,25,1.9
268,Maxi Kleber\klebima01,PF,27,13.4
269,Brandon Knight\knighbr03,PG,27,7.3
269,Brandon Knight\knighbr03,PG,27,0.9
269,Brandon Knight\knighbr03,PG,27,19
270,Kevin Knox\knoxke01,PF,19,8.2
271,Furkan Korkmaz\korkmfu01,SG,21,11.7
272,Luke Kornet\kornelu01,PF,23,15.9
273,Kyle Korver\korveky01,SG-PF,37,12
273,Kyle Korver\korveky01,PF,37,11.4
273,Kyle Korver\korveky01,SG,37,12.2
274,Kosta Koufos\koufoko01,C,29,12.4
275,Rodions Kurucs\kurucro01,SF,20,11.1
276,Kyle Kuzma\kuzmaky01,PF,23,15
277,Skal Labissiere\labissk01,PF,22,7
277,Skal Labissiere\labissk01,PF,22,7
277,Skal Labissiere\labissk01,PF,22,11.7
278,Jeremy Lamb\lambje01,SG,26,16.5
279,Zach LaVine\lavinza01,SG,23,18.3
280,Jake Layman\laymaja01,SF,24,15.6
281,T.J. Leaf\leaftj01,PF,21,15
282,Courtney Lee\leeco01,SG,33,12.4
282,Courtney Lee\leeco01,SG,33,13.8
282,Courtney Lee\leeco01,SG,33,3.5
283,Damion Lee\leeda03,SG,26,11.2
284,Alex Len\lenal01,C,25,16.3
285,Kawhi Leonard\leonaka01,SF,27,26.1
286,Meyers Leonard\leoname01,C,26,16.2
287,Jon Leuer\leuerjo01,PF,29,14.2
288,Caris LeVert\leverca01,SF,24,16.8
289,Damian Lillard\lillada01,PG,28,23.7
290,Jeremy Lin\linje01,PG,30,15.9
290,Jeremy Lin\linje01,PG,30,16
290,Jeremy Lin\linje01,PG,30,12
291,Shaun Livingston\livinsh01,PG,33,12.5
292,Zach Lofton\loftoza01,SG,26,-10
293,Kevon Looney\looneke01,C,22,16.8
294,Brook Lopez\lopezbr01,C,30,14
295,Robin Lopez\lopezro01,C,30,13.5
296,Kevin Love\loveke01,PF,30,15.5
297,Kyle Lowry\lowryky01,PG,32,16.9
298,Jordan Loyd\loydjo01,PG,25,11
299,Kalin Lucas\lucaska01,PG,29,16.6
300,Timothe Luwawu-Cabarrot\luwawti01,SF-SG,23,5
300,Timothe Luwawu-Cabarrot\luwawti01,SF,23,3.5
300,Timothe Luwawu-Cabarrot\luwawti01,SG,23,7.1
301,Tyler Lydon\lydonty01,PF,22,8.3
302,Trey Lyles\lylestr01,PF,23,13.2
303,Shelvin Mack\macksh01,PG,28,11
303,Shelvin Mack\macksh01,PG,28,11.2
303,Shelvin Mack\macksh01,PG,28,0.7
304,Daryl Macon\maconda01,SG,23,19.6
305,J.P. Macura\macurjp01,SG,23,0.6
306,Ian Mahinmi\mahinia01,C,32,12.5
307,Thon Maker\makerth01,C-PF,21,12.2
307,Thon Maker\makerth01,C,21,13
307,Thon Maker\makerth01,PF,21,3.6
308,Boban Marjanovic\marjabo01,C,30,24.8
308,Boban Marjanovic\marjabo01,C,30,25.3
308,Boban Marjanovic\marjabo01,C,30,22.8
309,Lauri Markkanen\markkla01,PF,21,17.1
310,Jarell Martin\martija01,PF,24,9.6
311,Frank Mason\masonfr01,PG,24,12.8
312,Wesley Matthews\matthwe02,SF-SG,32,10.8
312,Wesley Matthews\matthwe02,SF,32,11.4
312,Wesley Matthews\matthwe02,SG,32,2.9
312,Wesley Matthews\matthwe02,SG,32,5.4
313,Luc Mbah a Moute\mbahalu01,PF,32,6.9
314,Patrick McCaw\mccawpa01,SG,23,5.5
314,Patrick McCaw\mccawpa01,SG,23,-0.7
314,Patrick McCaw\mccawpa01,SG,23,8.4
315,CJ McCollum\mccolcj01,SG,27,16.8
316,T.J. McConnell\mccontj01,PG,26,14.6
317,Doug McDermott\mcderdo01,SF,27,10.4
318,JaVale McGee\mcgeeja01,C,31,20.9
319,Rodney McGruder\mcgruro01,SG,27,9.1
320,Alfonzo McKinnie\mckinal01,SF,26,11
321,Ben McLemore\mclembe01,SG,25,10.6
322,Jordan McRae\mcraejo01,SG,27,13.6
323,Salah Mejri\mejrisa01,C,32,16.4
324,De'Anthony Melton\meltode01,PG,20,9.6
325,Chimezie Metu\metuch01,PF,21,7.1
326,Khris Middleton\middlkh01,SF,27,15.6
327,C.J. Miles\milescj01,SF,31,8.8
327,C.J. Miles\milescj01,SF,31,8.2
327,C.J. Miles\milescj01,SF,31,14.3
328,Darius Miller\milleda01,SF,28,8.3
329,Patty Mills\millspa02,PG,30,14
330,Paul Millsap\millspa01,PF,33,18.6
331,Shake Milton\miltosh01,SG,22,14.9
332,Nikola Mirotic\mirotni01,PF,27,17.8
332,Nikola Mirotic\mirotni01,PF,27,17.8
332,Nikola Mirotic\mirotni01,F,27,15.2
333,Donovan Mitchell\mitchdo01,SG,22,15.9
334,Naz Mitrou-Long\mitrona01,SG,25,-2.9
335,Malik Monk\monkma01,SG,20,12.9
336,Greg Monroe\monrogr01,C,28,13.7
337,E'Twaun Moore\mooreet01,SF,29,11.6
338,Eric Moreland\moreler01,PF,27,4
339,Jaylen Morris\morrija01,SG,23,12.3
340,Marcus Morris\morrima03,PF,29,15.6
341,Markieff Morris\morrima02,PF,29,12.3
342,Monte Morris\morrimo01,PG,23,16.8
343,Johnathan Motley\motlejo01,PF,23,16.7
344,Emmanuel Mudiay\mudiaem01,PG,22,15.8
345,Jamal Murray\murraja01,PG,21,15.1
346,Dzanan Musa\musadz01,SG,19,3
347,Mike Muscala\muscami01,PF,27,10.5
347,Mike Muscala\muscami01,PF,27,10.4
347,Mike Muscala\muscami01,PF,27,17.3
348,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,21,5.9
348,Sviatoslav Mykhailiuk\mykhasv01,SF,21,6
348,Sviatoslav Mykhailiuk\mykhasv01,SG,21,3.6
349,Abdel Nader\naderab01,SF,25,9.4
350,Larry Nance\nancela02,C,26,18.7
351,Shabazz Napier\napiesh01,PG,27,15.8
352,Raul Neto\netora01,PG,26,14.3
353,Georges Niang\niangge01,PF,25,11.9
354,Joakim Noah\noahjo01,C,33,15.9
355,Nerlens Noel\noelne01,C,24,20
356,Dirk Nowitzki\nowitdi01,PF,40,7.9
357,Frank Ntilikina\ntilila01,PG,20,6.2
358,James Nunnally\nunnaja01,SF,28,7.4
358,James Nunnally\nunnaja01,SF,28,12.2
358,James Nunnally\nunnaja01,SF,28,-0.7
359,Jusuf Nurkic\nurkiju01,C,24,23
360,David Nwaba\nwabada01,SG,26,12.8
361,Royce O'Neale\onealro01,SF,25,10.1
362,Kyle O'Quinn\oquinky01,C,28,13.1
363,Semi Ojeleye\ojelese01,PF,24,9.1
364,Jahlil Okafor\okafoja01,C,23,19.8
365,Elie Okobo\okoboel01,PG,21,7
366,Josh Okogie\okogijo01,SG,20,8.2
367,Victor Oladipo\oladivi01,SG,26,17.8
368,Kelly Olynyk\olynyke01,PF,27,14.3
369,Cedi Osman\osmande01,SF,23,11
370,Kelly Oubre\oubreke01,SF,23,14.7
370,Kelly Oubre\oubreke01,SF,23,13.3
370,Kelly Oubre\oubreke01,SF,23,16
371,Zaza Pachulia\pachuza01,C,34,15.4
372,Jabari Parker\parkeja01,PF,23,14.8
372,Jabari Parker\parkeja01,PF,23,14.6
372,Jabari Parker\parkeja01,PF,23,16.9
373,Tony Parker\parketo01,PG,36,15.5
374,Chandler Parsons\parsoch01,SF,30,7
375,Patrick Patterson\pattepa01,PF,29,8.5
376,Chris Paul\paulch01,PG,33,19.4
377,Cameron Payne\payneca01,PG,24,11.6
377,Cameron Payne\payneca01,PG,24,10.4
377,Cameron Payne\payneca01,PG,24,15.4
378,Elfrid Payton\paytoel01,PG,24,12.7
379,Gary Payton\paytoga02,PG,26,37
380,Theo Pinson\pinsoth01,SG,23,8.2
381,Mason Plumlee\plumlma01,C,28,18.7
382,Miles Plumlee\plumlmi01,C,30,18.9
383,Jakob Poeltl\poeltja01,C,23,18.7
384,Quincy Pondexter\pondequ01,SF,30,13.2
385,Otto Porter\porteot01,SF,25,15.9
385,Otto Porter\porteot01,SF,25,15
385,Otto Porter\porteot01,SF,25,23.4
386,Bobby Portis\portibo01,PF,23,17.8
386,Bobby Portis\portibo01,PF,23,17.2
386,Bobby Portis\portibo01,PF,23,20.3
387,Dwight Powell\poweldw01,C,27,19.5
388,Norman Powell\powelno01,SG,25,13.4
389,Alex Poythress\poythal01,PF,25,12.8
390,Zhou Qi\qizh01,PF,23,81.1
391,Ivan Rabb\rabbiv01,PF,21,19
392,Chasson Randle\randlch01,PG,25,9.7
393,Julius Randle\randlju01,C,24,21.7
394,J.J. Redick\redicjj01,SG,34,15.5
395,Davon Reed\reedda01,SG,23,8.7
396,Josh Richardson\richajo01,SG,25,14.4
397,Malachi Richardson\richama01,SG,23,1
398,Austin Rivers\riverau01,SG-PG,26,7.9
398,Austin Rivers\riverau01,SG,26,6.9
398,Austin Rivers\riverau01,PG,26,8.7
399,Devin Robinson\robinde01,SF,23,26.1
400,Duncan Robinson\robindu01,PF,24,7
401,Glenn Robinson\robingl02,SF,25,6.8
402,Jerome Robinson\robinje01,SG,21,7.8
403,Mitchell Robinson\robinmi01,C,20,21
404,Rajon Rondo\rondora01,PG,32,12.4
405,Derrick Rose\rosede01,PG,30,19.5
406,Terrence Ross\rosste01,SG,27,15.2
407,Terry Rozier\roziete01,PG,24,13.4
408,Ricky Rubio\rubiori01,PG,28,13.3
409,D'Angelo Russell\russeda01,PG,22,18.8
410,Domantas Sabonis\sabondo01,C,22,22.5
411,Brandon Sampson\sampsbr01,SG,21,16
412,Dario Saric\saricda01,PF,24,12.8
412,Dario Saric\saricda01,PF,24,8.2
412,Dario Saric\saricda01,PF,24,14.6
413,Tomas Satoransky\satorto01,SG,27,14
414,Dennis Schroder\schrode01,PG,25,13.7
415,Mike Scott\scottmi01,PF,30,8.9
415,Mike Scott\scottmi01,PF,30,9.5
415,Mike Scott\scottmi01,PF,30,3.4
416,Thabo Sefolosha\sefolth01,SF,34,11.3
417,Wayne Selden\seldewa01,SG,24,8.3
417,Wayne Selden\seldewa01,SG,24,9
417,Wayne Selden\seldewa01,SG,24,7.5
418,Collin Sexton\sextoco01,PG,20,10.2
419,Landry Shamet\shamela01,SG-PG,21,11.3
419,Landry Shamet\shamela01,SG,21,10.8
419,Landry Shamet\shamela01,PG,21,18.6
420,Iman Shumpert\shumpim01,SG,28,9.7
420,Iman Shumpert\shumpim01,SG,28,10.1
420,Iman Shumpert\shumpim01,SG,28,3.9
421,Pascal Siakam\siakapa01,PF,24,18.6
422,Ben Simmons\simmobe01,PG,22,20.1
423,Jonathon Simmons\simmojo02,SG-SF,29,7.7
423,Jonathon Simmons\simmojo02,SG,29,7.5
423,Jonathon Simmons\simmojo02,SF,29,10.9
424,Kobi Simmons\simmoko01,PG,21,0
425,Anfernee Simons\simonan01,SG,19,-6
426,Marcus Smart\smartma01,SG,24,12.6
427,Dennis Smith\smithde03,PG,21,12.5
427,Dennis Smith\smithde03,PG,21,11.6
